ID / Initials,Age Range,Familiar with webumenia.sk?,Relationship to Art,Digital Skill Level,Diptych Count,Assistance Level,Reasons,Serendipity,Serendipity Description,Meaning,To Improve,Pair URL
JJ,35–44,Áno,Pro,High,1,1,"nahoda / serendipita,atmosfera / nalada",Áno,,,,https://atlas-remix-demo.test/pairs/11
X1,55–64,Áno,Pro,High,2,3,"atmosfera / nalada,farba / tón",Nie,,,,https://atlas-remix-demo.test/pairs/13
ZH,35–44,Áno,Laik,Medium,2,1,"tvar / silueta,kompozícia / rozloženie",Áno,,,,https://atlas-remix-demo.test/pairs/14
MH,45–54,Nie,Laik,Medium,1,0,kompozícia / rozloženie,Áno,,,,https://atlas-remix-demo.test/pairs/16
SH,25–34,Áno,Laik,High,1,0,"farba / tón,textura / povrch,atmosfera / nalada",Áno,,,,https://atlas-remix-demo.test/pairs/17
TR,35–44,Áno,Pro,High,1,1,"atmosfera / nalada,vzor / rytmus",Áno,,,,https://atlas-remix-demo.test/pairs/18
PR,35–44,Áno,Laik,Medium,1,1,"vzor / rytmus,textura / povrch",Áno,,,,https://atlas-remix-demo.test/pairs/19
M,35–44,Áno,Laik,Medium,1,1,"atmosfera / nalada,nahoda / serendipita",Áno,,,,https://atlas-remix-demo.test/pairs/20
SV,45–54,Nie,Laik,Medium,1,2,"textura / povrch,atmosfera / nalada",Áno,,,,https://atlas-remix-demo.test/pairs/21
JV,45–54,Áno,Pro,Medium,1,0,"nahoda / serendipita,intuicia / neviem,kompozícia / rozloženie",Áno,,,,https://atlas-remix-demo.test/pairs/24
G1,45–54,Nie,Laik,Medium,1,2,atmosfera / nalada,Áno,,,,https://atlas-remix-demo.test/pairs/23
TP,< 18,Nie,Laik,Medium,2,1,,Nie,,,,Mrtvarevokucia
ZP,35–44,Áno,Pro,Medium,1,2,,Áno,,,Dat na web/online,
B1,25–34,Áno,Laik,Low,1,1,,Áno,,,,
TK,35–44,Nie,Laik,Medium,1,1,,Áno,,,,Triptych